Lambda(micron),Flux(Jy)
5.114000089961336926e+00,1.063060484862839716e-01
5.114800089941127226e+00,1.075954806903964139e-01
5.115600089920917526e+00,1.111203675018105352e-01
5.116400089900707826e+00,1.110016166362466916e-01
5.117200089880498126e+00,1.068634526213775443e-01
5.118000089860288426e+00,1.009425248047150087e-01
5.118800089840078726e+00,1.019289260241553613e-01
5.119600089819869027e+00,1.073065241380745383e-01
5.120400089799659327e+00,1.100699018172502375e-01
5.121200089779449627e+00,1.112503458485481628e-01
5.122000089759239927e+00,1.121803546007734409e-01
5.122800089739030227e+00,1.126979748691700339e-01
5.123600089718820527e+00,1.112969808378492659e-01
5.124400089698610827e+00,1.096246692699164305e-01
5.125200089678401127e+00,1.104013712185642204e-01
5.126000089658191428e+00,1.101766883028489907e-01
5.126800089637981728e+00,1.075487408154482960e-01
5.127600089617772028e+00,1.068030884898110988e-01
5.128400089597562328e+00,1.087000897795380033e-01
5.129200089577352628e+00,1.088233382194059434e-01
5.130000089557142928e+00,1.067657673580588301e-01
5.130800089536933228e+00,1.040571703905835560e-01
5.131600089516723529e+00,1.020204256331446180e-01
5.132400089496513829e+00,1.040793713031063772e-01
5.133200089476304129e+00,1.097972574528837675e-01
5.134000089456094429e+00,1.124629092929667479e-01
5.134800089435884729e+00,1.131279490319859471e-01
5.135600089415675029e+00,1.130678238536800967e-01
5.136400089395465329e+00,1.112168428591564784e-01
5.137200089375255629e+00,1.094402089768461844e-01
5.138000089355045930e+00,1.099774475050591810e-01
5.138800089334836230e+00,1.089372579641442462e-01
5.139600089314626530e+00,1.083204952685130895e-01
5.140400089294416830e+00,1.104783868564797322e-01
5.141200089274207130e+00,1.121343083260802759e-01
5.142000089253997430e+00,1.112346988739699172e-01
5.142800089233787730e+00,1.097268504931009636e-01
5.143600089213578030e+00,1.069322860285249754e-01
5.144400089193368331e+00,1.051058140256426326e-01
5.145200089173158631e+00,1.029997467576073272e-01
5.146000089152948931e+00,1.024499943953938036e-01
5.146800089132739231e+00,1.037776891763476789e-01
5.147600089112529531e+00,1.059217383025074094e-01
5.148400089092319831e+00,1.097816165886564971e-01
5.149200089072110131e+00,1.090946966740410917e-01
5.150000089051900432e+00,1.082505605624083933e-01
5.150800089031690732e+00,1.115462568424130524e-01
5.151600089011481032e+00,1.132004114480411050e-01
5.152400088991271332e+00,1.138871413268713051e-01
5.153200088971061632e+00,1.140577346227467370e-01
5.154000088950851932e+00,1.148253251455822882e-01
5.154800088930642232e+00,1.145061723278328336e-01
5.155600088910432532e+00,1.123914229841372070e-01
5.156400088890222833e+00,1.108248126624719471e-01
5.157200088870013133e+00,1.096979562537592628e-01
5.158000088849803433e+00,1.086621526647246067e-01
5.158800088829593733e+00,1.071294292787631219e-01
5.159600088809384033e+00,1.053803617199917109e-01
5.160400088789174333e+00,1.085303633502788384e-01
5.161200088768964633e+00,1.122920751975259035e-01
5.162000088748754933e+00,1.131840804211434737e-01
5.162800088728545234e+00,1.127955426858474747e-01
5.163600088708335534e+00,1.113829034828163062e-01
5.164400088688125834e+00,1.103210696528106743e-01
5.165200088667916134e+00,1.126824697713818546e-01
5.166000088647706434e+00,1.132279128366136950e-01
5.166800088627496734e+00,1.130788881607212720e-01
5.167600088607287034e+00,1.129094382081287651e-01
5.168400088587077335e+00,1.122226511526138587e-01
5.169200088566867635e+00,1.117148719559235975e-01
5.170000088546657935e+00,1.117489711350518750e-01
5.170800088526448235e+00,1.113335385289869334e-01
5.171600088506238535e+00,1.102761819673903215e-01
5.172400088486028835e+00,1.089251622056544438e-01
5.173200088465819135e+00,1.057017971023168912e-01
5.174000088445609435e+00,1.089669981677159200e-01
5.174800088425399736e+00,1.123026538439605704e-01
5.175600088405190036e+00,1.128577958670912290e-01
5.176400088384980336e+00,1.132621654753159790e-01
5.177200088364770636e+00,1.138589158984797955e-01
5.178000088344560936e+00,1.145398358330366878e-01
5.178800088324351236e+00,1.146325500716464107e-01
5.179600088304141536e+00,1.151141482426933788e-01
5.180400088283931836e+00,1.147349104837060707e-01
5.181200088263722137e+00,1.145838944286368261e-01
5.182000088243512437e+00,1.139535795924316169e-01
5.182800088223302737e+00,1.142779338541367179e-01
5.183600088203093037e+00,1.130395715879888435e-01
5.184400088182883337e+00,1.112332326885795281e-01
5.185200088162673637e+00,1.119385189574165634e-01
5.186000088142463937e+00,1.127046136861856451e-01
5.186800088122254238e+00,1.122364785613517713e-01
