Lambda(micron),Flux(Jy)
6.580399824160849676e+00,1.614930852600471312e-01
6.581199824140639976e+00,1.591889262244118586e-01
6.581999824120430276e+00,1.550643162626253735e-01
6.582799824100220576e+00,1.540816935326420611e-01
6.583599824080010876e+00,1.560006808712742776e-01
6.584399824059801176e+00,1.569413101309379832e-01
6.585199824039591476e+00,1.569698439643595067e-01
6.585999824019381776e+00,1.571381775630711353e-01
6.586799823999172077e+00,1.563601165749986532e-01
6.587599823978962377e+00,1.531710082341153356e-01
6.588399823958752677e+00,1.494785673324374731e-01
6.589199823938542977e+00,1.447722045277926584e-01
6.589999823918333277e+00,1.425891584992559080e-01
6.590799823898123577e+00,1.475683080544490378e-01
6.591599823877913877e+00,1.489832919612783801e-01
6.592399823857704177e+00,1.442666969501567309e-01
6.593199823837494478e+00,1.431598425610721703e-01
6.593999823817284778e+00,1.427593392386211635e-01
6.594799823797075078e+00,1.414864267609224902e-01
6.595599823776865378e+00,1.401280302254195309e-01
6.596399823756655678e+00,1.390060016290704525e-01
6.597199823736445978e+00,1.408375814317374131e-01
6.597999823716236278e+00,1.437356186831241500e-01
6.598799823696026579e+00,1.435024261983660621e-01
6.599599823675816879e+00,1.427641755930566525e-01
6.600399823655607179e+00,1.433373181741985358e-01
6.601199823635397479e+00,1.475775555525500882e-01
6.601999823615187779e+00,1.512570878235147687e-01
6.602799823594978079e+00,1.531948369568403023e-01
6.603599823574768379e+00,1.544989333143081123e-01
6.604399823554558679e+00,1.556683074514257359e-01
6.605199823534348980e+00,1.561796156623911913e-01
6.605999823514139280e+00,1.554426804431333631e-01
6.606799823493929580e+00,1.549953402415068793e-01
6.607599823473719880e+00,1.546919845493400225e-01
6.608399823453510180e+00,1.545045016325251042e-01
6.609199823433300480e+00,1.537486717974273775e-01
6.609999823413090780e+00,1.514199410450141614e-01
6.610799823392881081e+00,1.452552417430000853e-01
6.611599823372671381e+00,1.386381011690430709e-01
6.612399823352461681e+00,1.371641283546823631e-01
6.613199823332251981e+00,1.399367419001696367e-01
6.613999823312042281e+00,1.449947733831122854e-01
6.614799823291832581e+00,1.463378949684440711e-01
6.615599823271622881e+00,1.450372734475983694e-01
6.616399823251413181e+00,1.452538825977131576e-01
6.617199823231203482e+00,1.474031895494589128e-01
6.617999823210993782e+00,1.467944141767769384e-01
6.618799823190784082e+00,1.422459030970708582e-01
6.619599823170574382e+00,1.341241909100265861e-01
6.620399823150364682e+00,1.343002181382080829e-01
6.621199823130154982e+00,1.388809857902039702e-01
6.621999823109945282e+00,1.378855303857164927e-01
6.622799823089735582e+00,1.332417313348784327e-01
6.623599823069525883e+00,1.298123045184969571e-01
6.624399823049316183e+00,1.374970754491288416e-01
6.625199823029106483e+00,1.458141785280623326e-01
6.625999823008896783e+00,1.495711703829297190e-01
6.626799822988687083e+00,1.477428461433796802e-01
6.627599822968477383e+00,1.422362204077202152e-01
6.628399822948267683e+00,1.339290362238441945e-01
6.629199822928057984e+00,1.308371089444644586e-01
6.629999822907848284e+00,1.309287246421709794e-01
6.630400207272032276e+00,1.304555047463478445e-01
6.631200207251822576e+00,1.333766143905201762e-01
6.632000207231612876e+00,1.498062084206860101e-01
6.632800207211403176e+00,1.798587338728620810e-01
6.633600207191193476e+00,2.195360249586014445e-01
6.634400207170983776e+00,2.480726273392906966e-01
6.635200207150774077e+00,2.289664226142039960e-01
6.636000207130564377e+00,1.681726607868552770e-01
6.636800207110354677e+00,1.476118692345739503e-01
6.637600207090144977e+00,1.405996910563310220e-01
6.638400207069935277e+00,1.400963434168983057e-01
6.639200207049725577e+00,1.367734086073814359e-01
6.640000207029515877e+00,1.315984968193298077e-01
6.640800207009306177e+00,1.266639391854881835e-01
6.641600206989096478e+00,1.289000568207986086e-01
6.642400206968886778e+00,1.381681686133204023e-01
6.643200206948677078e+00,1.427490121811237633e-01
6.644000206928467378e+00,1.442268038199002178e-01
6.644800206908257678e+00,1.428531943346481037e-01
6.645600206888047978e+00,1.402829013897790023e-01
6.646400206867838278e+00,1.394505492174522576e-01
6.647200206847628579e+00,1.404939473364090197e-01
6.648000206827418879e+00,1.413496500040806181e-01
6.648800206807209179e+00,1.419308071237528057e-01
6.649600206786999479e+00,1.417725306941838292e-01
6.650400206766789779e+00,1.418219382165639419e-01
6.651200206746580079e+00,1.423426929253278905e-01
6.652000206726370379e+00,1.431339002435059182e-01
6.652800206706160679e+00,1.427988053872865370e-01
6.653600206685950980e+00,1.416080600562273084e-01
6.654400206665741280e+00,1.403411329851314560e-01
6.655200206645531580e+00,1.379528210089376872e-01
6.656000206625321880e+00,1.354151428196800899e-01
6.656800206605112180e+00,1.321253318555131451e-01
6.657600206584902480e+00,1.283104261514092514e-01
6.658400206564692780e+00,1.273926784350377373e-01
6.659200206544483081e+00,1.315815109871671107e-01
6.660000206524273381e+00,1.354320347401171964e-01
6.660800206504063681e+00,1.371232688700103342e-01
6.661600206483853981e+00,1.373419275673360418e-01
6.662400206463644281e+00,1.362222867553814221e-01
6.663200206443434581e+00,1.328237206729899755e-01
6.664000206423224881e+00,1.325632428596734969e-01
6.664800206403015181e+00,1.345222210857840717e-01
6.665600206382805482e+00,1.366361277244598771e-01
6.666400206362595782e+00,1.356316259628123355e-01
6.667200206342386082e+00,1.347611689140533198e-01
6.668000206322176382e+00,1.355837912388888344e-01
6.668800206301966682e+00,1.356192240088866519e-01
6.669600206281756982e+00,1.349036940823684638e-01
6.670400206261547282e+00,1.278419088015538274e-01
6.671200206241337582e+00,1.244409991984105485e-01
6.672000206221127883e+00,1.250003002488193349e-01
6.672800206200918183e+00,1.278479906983132630e-01
6.673600206180708483e+00,1.297040901170237182e-01
6.674400206160498783e+00,1.334771579489107685e-01
6.675200206140289083e+00,1.343566090280675918e-01
6.676000206120079383e+00,1.344610729007913730e-01
6.676800206099869683e+00,1.337491309784901439e-01
6.677600206079659984e+00,1.337460743591678269e-01
6.678400206059450284e+00,1.341571777015789779e-01
6.679200206039240584e+00,1.341241580247171106e-01
6.680000206019030884e+00,1.330770914605054478e-01
6.680800205998821184e+00,1.295800738635967675e-01
6.681600205978611484e+00,1.221512088045407229e-01
6.682400205958401784e+00,1.172127759640172739e-01
6.683200205938192084e+00,1.172544983429457816e-01
6.684000205917982385e+00,1.243234402313643516e-01
6.684800205897772685e+00,1.291639555584745414e-01
6.685600205877562985e+00,1.255571005093095716e-01
6.686400205857353285e+00,1.253776699289856911e-01
6.687200205837143585e+00,1.263612931827829133e-01
6.688000205816933885e+00,1.254325510455934212e-01
6.688800205796724185e+00,1.260103250211780102e-01
6.689600205776514485e+00,1.280347883857018976e-01
6.690400205756304786e+00,1.297953215888099088e-01
6.691200205736095086e+00,1.311250833789577297e-01
6.692000205715885386e+00,1.321781690560052680e-01
6.692800205695675686e+00,1.310695690874808250e-01
6.693600205675465986e+00,1.303154582919111570e-01
6.694400205655256286e+00,1.308044504915946427e-01
6.695200205635046586e+00,1.307299770679920259e-01
6.696000205614836887e+00,1.309754037525266146e-01
6.696800205594627187e+00,1.314925695280997342e-01
6.697600205574417487e+00,1.308039493855021607e-01
6.698400205554207787e+00,1.302696375145694641e-01
6.699200205533998087e+00,1.313262954880129174e-01
6.700000205513788387e+00,1.310290066750072202e-01
6.700800205493578687e+00,1.300872205058323239e-01
6.701600205473368987e+00,1.302901591470137510e-01
6.702400205453159288e+00,1.296191789873153699e-01
6.703200205432949588e+00,1.274856915392638124e-01
6.704000205412739888e+00,1.257561035866642529e-01
6.704800205392530188e+00,1.250671334999225726e-01
6.705600205372320488e+00,1.253670751618024548e-01
6.706400205352110788e+00,1.226434368584531920e-01
6.707200205331901088e+00,1.212288265426367528e-01
6.708000205311691388e+00,1.250731747766323232e-01
6.708800205291481689e+00,1.281322842787392946e-01
6.709600205271271989e+00,1.284167687387944568e-01
6.710400205251062289e+00,1.246641717628348967e-01
6.711200205230852589e+00,1.207924132498998659e-01
6.712000205210642889e+00,1.212845625663776516e-01
6.712800205190433189e+00,1.235890767764780684e-01
6.713600205170223489e+00,1.213619374621451724e-01
6.714400205150013790e+00,1.190521546989809082e-01
6.715200205129804090e+00,1.198367573740858477e-01
6.716000205109594390e+00,1.228089061848266633e-01
6.716800205089384690e+00,1.259642580084439079e-01
6.717600205069174990e+00,1.288868217927836846e-01
6.718400205048965290e+00,1.291660122390552445e-01
6.719200205028755590e+00,1.286079325611855229e-01
6.720000205008545890e+00,1.268681225867109019e-01
6.720800204988336191e+00,1.250529282965970879e-01
6.721600204968126491e+00,1.230357789321277484e-01
6.722400204947916791e+00,1.205492231317357027e-01
6.723200204927707091e+00,1.202865915404181668e-01
6.724000204907497391e+00,1.234298789946432356e-01
6.724800204887287691e+00,1.246097667764773931e-01
6.725600204867077991e+00,1.244262063127547363e-01
6.726400204846868291e+00,1.230200419824046404e-01
6.727200204826658592e+00,1.209377098703042497e-01
6.728000204806448892e+00,1.187547072830363593e-01
6.728800204786239192e+00,1.221944852701643408e-01
6.729600204766029492e+00,1.256509940302962813e-01
6.730400204745819792e+00,1.269527023798840415e-01
6.731200204725610092e+00,1.268389056216406019e-01
6.732000204705400392e+00,1.266813936898582016e-01
6.732800204685190693e+00,1.254258111060728709e-01
6.733600204664980993e+00,1.254945704249472715e-01
6.734400204644771293e+00,1.255960925297357478e-01
6.735200204624561593e+00,1.249277710281912618e-01
6.736000204604351893e+00,1.247950944865045542e-01
6.736800204584142193e+00,1.255118446038349933e-01
6.737600204563932493e+00,1.264171717552228236e-01
6.738400204543722793e+00,1.252861979330206488e-01
6.739200204523513094e+00,1.245015517529855786e-01
6.740000204503303394e+00,1.237423449515643731e-01
6.740800204483093694e+00,1.237123930085203133e-01
6.741600204462883994e+00,1.240570567585699557e-01
6.742400204442674294e+00,1.233874643913329405e-01
6.743200204422464594e+00,1.230424769977788019e-01
6.744000204402254894e+00,1.226224041345238963e-01
6.744800204382045195e+00,1.219759745452122790e-01
6.745600204361835495e+00,1.224278290958009108e-01
6.746400204341625795e+00,1.230386141584931536e-01
6.747200204321416095e+00,1.208190230876546867e-01
6.748000204301206395e+00,1.193898783361204696e-01
6.748800204280996695e+00,1.203736929064072730e-01
6.749600204260786995e+00,1.198120307606641982e-01
6.750400204240577295e+00,1.179672154095716685e-01
6.751200204220367596e+00,1.180595822617339502e-01
6.752000204200157896e+00,1.196867426269683371e-01
6.752800204179948196e+00,1.193278248157628729e-01
6.753600204159738496e+00,1.186894429385131622e-01
6.754400204139528796e+00,1.188315989483150759e-01
6.755200204119319096e+00,1.184344491930371251e-01
6.756000204099109396e+00,1.201509063536196215e-01
6.756800204078899696e+00,1.222539653487156319e-01
6.757600204058689997e+00,1.226200892463133463e-01
6.758400204038480297e+00,1.225053403844696825e-01
6.759200204018270597e+00,1.228444734268866051e-01
6.760000203998060897e+00,1.230015687881861886e-01
6.760800203977851197e+00,1.232266799477332170e-01
6.761600203957641497e+00,1.234276494329617918e-01
6.762400203937431797e+00,1.233754991067171902e-01
6.763200203917222098e+00,1.222414368629957254e-01
6.764000203897012398e+00,1.201390840621481687e-01
6.764800203876802698e+00,1.177613734137440554e-01
6.765600203856592998e+00,1.169584426743768002e-01
6.766400203836383298e+00,1.178632139125476153e-01
6.767200203816173598e+00,1.194418415403046413e-01
6.768000203795963898e+00,1.182443107517673342e-01
6.768800203775754198e+00,1.166488922577763321e-01
6.769600203755544499e+00,1.162691855200863461e-01
6.770400203735334799e+00,1.174656777666343022e-01
6.771200203715125099e+00,1.168040172671093585e-01
6.772000203694915399e+00,1.135479983408689691e-01
6.772800203674705699e+00,1.103648823773218379e-01
6.773600203654495999e+00,1.106016342799811120e-01
6.774400203634286299e+00,1.141270970569103205e-01
6.775200203614076599e+00,1.188603024035540107e-01
6.776000203593866900e+00,1.206458402649590728e-01
6.776800203573657200e+00,1.209593336727571855e-01
6.777600203553447500e+00,1.214244860959619171e-01
6.778400203533237800e+00,1.216817643510703095e-01
6.779200203513028100e+00,1.206626152007945763e-01
6.780000203492818400e+00,1.184031526061492534e-01
6.780800203472608700e+00,1.159648579556139814e-01
6.781600203452399001e+00,1.136473565419006959e-01
6.782400203432189301e+00,1.144783138375181364e-01
6.783200203411979601e+00,1.155640556434526095e-01
6.784000203391769901e+00,1.150168905512559958e-01
6.784800203371560201e+00,1.102639903349998396e-01
6.785600203351350501e+00,1.063720399663097282e-01
6.786400203331140801e+00,1.097553355435693240e-01
6.787200203310931101e+00,1.169610719000176852e-01
6.788000203290721402e+00,1.203591291968659077e-01
6.788800203270511702e+00,1.210188054387718037e-01
6.789600203250302002e+00,1.204532090822598295e-01
6.790400203230092302e+00,1.194643367770408249e-01
6.791200203209882602e+00,1.164082257903206463e-01
6.792000203189672902e+00,1.119556159279118945e-01
6.792800203169463202e+00,1.099543390001768706e-01
6.793600203149253502e+00,1.143680245758542935e-01
6.794400203129043803e+00,1.153813143938915708e-01
6.795200203108834103e+00,1.148650518844870211e-01
6.796000203088624403e+00,1.167751880054149483e-01
6.796800203068414703e+00,1.177742977869699337e-01
6.797600203048205003e+00,1.168672954723465052e-01
6.798400203027995303e+00,1.158008045494517552e-01
6.799200203007785603e+00,1.175694265253858367e-01
6.800000202987575904e+00,1.193263921978957448e-01
6.800800202967366204e+00,1.190989317551286591e-01
6.801600202947156504e+00,1.192692138408129876e-01
6.802400202926946804e+00,1.197766827341401330e-01
6.803200202906737104e+00,1.189240906330025632e-01
6.804000202886527404e+00,1.192542315524814517e-01
6.804800202866317704e+00,1.203841090146137854e-01
6.805600202846108004e+00,1.203935576956659537e-01
6.806400202825898305e+00,1.190965989812993869e-01
6.807200202805688605e+00,1.180688741701620553e-01
6.808000202785478905e+00,1.177237420526710682e-01
6.808800202765269205e+00,1.174172800402262379e-01
6.809600202745059505e+00,1.167460796847882426e-01
6.810400202724849805e+00,1.166135254912046004e-01
6.811200202704640105e+00,1.163163616286438246e-01
6.812000202684430405e+00,1.150117758566250176e-01
6.812800202664220706e+00,1.123429054041447245e-01
6.813600202644011006e+00,1.118573264867396971e-01
6.814400202623801306e+00,1.140661569371920758e-01
6.815200202603591606e+00,1.151754228923329570e-01
6.816000202583381906e+00,1.148826218263843124e-01
6.816800202563172206e+00,1.147243020549741643e-01
6.817600202542962506e+00,1.154227096189710533e-01
6.818400202522752807e+00,1.169825288611581054e-01
6.819200202502543107e+00,1.192405842306814290e-01
6.820000202482333407e+00,1.198769124563142108e-01
6.820800202462123707e+00,1.197783584996598844e-01
6.821600202441914007e+00,1.190609715491720566e-01
6.822400202421704307e+00,1.177762659982159593e-01
6.823200202401494607e+00,1.166669820705483612e-01
6.824000202381284907e+00,1.146311570726219614e-01
6.824800202361075208e+00,1.112886768447439723e-01
6.825600202340865508e+00,1.081151254823524005e-01
6.826400202320655808e+00,1.106301379176675426e-01
6.827200202300446108e+00,1.131242098538558644e-01
6.828000202280236408e+00,1.138123674489795456e-01
6.828800202260026708e+00,1.144363378360892941e-01
6.829600202239817008e+00,1.159391561101097423e-01
6.830400202219607309e+00,1.180239700270959563e-01
6.831200202199397609e+00,1.195049392618555140e-01
6.832000202179187909e+00,1.190018612180481633e-01
6.832800202158978209e+00,1.175071273566136859e-01
6.833600202138768509e+00,1.157623231268416486e-01
6.834400202118558809e+00,1.146477487487496116e-01
6.835200202098349109e+00,1.138904660120097501e-01
6.836000202078139409e+00,1.129085269464639024e-01
6.836800202057929710e+00,1.131506346842594823e-01
6.837600202037720010e+00,1.141595382386794144e-01
6.838400202017510310e+00,1.158993370423732766e-01
6.839200201997300610e+00,1.185807231269952328e-01
6.840000201977090910e+00,1.202402308906203032e-01
6.840800201956881210e+00,1.209633989722959657e-01
6.841600201936671510e+00,1.197652799226825160e-01
6.842400201916461810e+00,1.190426337403265034e-01
6.843200201896252111e+00,1.184227984035912257e-01
6.844000201876042411e+00,1.172792735835806593e-01
6.844800201855832711e+00,1.185632952222071962e-01
6.845600201835623011e+00,1.218504678473104896e-01
6.846400201815413311e+00,1.229986308251717481e-01
6.847200201795203611e+00,1.230235760174781812e-01
6.848000201774993911e+00,1.217025776822192457e-01
6.848800201754784212e+00,1.196682900867653832e-01
6.849600201734574512e+00,1.178961839529661521e-01
6.850400201714364812e+00,1.168921170587452346e-01
6.851200201694155112e+00,1.160752462345806119e-01
6.852000201673945412e+00,1.157231747735377736e-01
6.852800201653735712e+00,1.179138718974685890e-01
6.853600201633526012e+00,1.193048836441108623e-01
6.854400201613316312e+00,1.197729640614650370e-01
6.855200201593106613e+00,1.184760096435429344e-01
6.856000201572896913e+00,1.141402920115123093e-01
6.856800201552687213e+00,1.123236004000127269e-01
6.857600201532477513e+00,1.181477177977428988e-01
6.858400201512267813e+00,1.218433537822028595e-01
6.859200201492058113e+00,1.240714347347106894e-01
6.860000201471848413e+00,1.252644357917735152e-01
6.860800201451638713e+00,1.230182021138304521e-01
6.861600201431429014e+00,1.188100934914333440e-01
6.862400201411219314e+00,1.092733350712644103e-01
6.863200201391009614e+00,1.080891594361759050e-01
6.864000201370799914e+00,1.097119764329977931e-01
6.864800201350590214e+00,1.109311327603940134e-01
6.865600201330380514e+00,1.151715512786110479e-01
6.866400201310170814e+00,1.212034074003644074e-01
6.867200201289961115e+00,1.236940759058005740e-01
6.868000201269751415e+00,1.241440145818655250e-01
6.868800201249541715e+00,1.233568471197640654e-01
6.869600201229332015e+00,1.209635353175675943e-01
6.870400201209122315e+00,1.186358275983827870e-01
6.871200201188912615e+00,1.171597121084787252e-01
6.872000201168702915e+00,1.220562254884426517e-01
6.872800201148493215e+00,1.238353861066407990e-01
6.873600201128283516e+00,1.226711377812365056e-01
6.874400201108073816e+00,1.226823237974373343e-01
6.875200201087864116e+00,1.239668787928174948e-01
6.876000201067654416e+00,1.257814796881433494e-01
6.876800201047444716e+00,1.259207570532689391e-01
6.877600201027235016e+00,1.257349495315851773e-01
6.878400201007025316e+00,1.240034505202449455e-01
6.879200200986815616e+00,1.248690168782241317e-01
6.880000200966605917e+00,1.265375533048835599e-01
6.880800200946396217e+00,1.278568691653438338e-01
6.881600200926186517e+00,1.280819966404231902e-01
6.882400200905976817e+00,1.270670863595601829e-01
6.883200200885767117e+00,1.245137749867728100e-01
6.884000200865557417e+00,1.221789074534365693e-01
6.884800200845347717e+00,1.204423874278788276e-01
6.885600200825138018e+00,1.200412615634927072e-01
6.886400200804928318e+00,1.222249858934581213e-01
6.887200200784718618e+00,1.276401429643564400e-01
6.888000200764508918e+00,1.303959242968518173e-01
6.888800200744299218e+00,1.309288026038653296e-01
6.889600200724089518e+00,1.313080987288156587e-01
6.890400200703879818e+00,1.312585284421070309e-01
6.891200200683670118e+00,1.315641988069365664e-01
6.892000200663460419e+00,1.322149965667545335e-01
6.892800200643250719e+00,1.318365954261520312e-01
6.893600200623041019e+00,1.311661514918045501e-01
6.894400200602831319e+00,1.319561189464001361e-01
6.895200200582621619e+00,1.321167779012435151e-01
6.896000200562411919e+00,1.320221128815354250e-01
6.896800200542202219e+00,1.310491767809700558e-01
6.897600200521992519e+00,1.305425026270524702e-01
6.898400200501782820e+00,1.301720206377961486e-01
6.899200200481573120e+00,1.313147838198487349e-01
6.900000200461363420e+00,1.307587788571036302e-01
6.900800200441153720e+00,1.293327456186439961e-01
6.901600200420944020e+00,1.298254349016045306e-01
6.902400200400734320e+00,1.299391560387070932e-01
6.903200200380524620e+00,1.298241814386560944e-01
6.904000200360314921e+00,1.300997231522118547e-01
6.904800200340105221e+00,1.270757253311728951e-01
6.905600200319895521e+00,1.219776071972527576e-01
6.906400200299685821e+00,1.277998278816934175e-01
6.907200200279476121e+00,1.329056132500671672e-01
6.908000200259266421e+00,1.398961851662593736e-01
6.908800200239056721e+00,1.501094814168894287e-01
6.909600200218847021e+00,1.466879405134730585e-01
6.910400200198637322e+00,1.380750811380870025e-01
6.911200200178427622e+00,1.352958009736663914e-01
6.912000200158217922e+00,1.343467851698461613e-01
6.912800200138008222e+00,1.334099909639595016e-01
6.913600200117798522e+00,1.338832615412067495e-01
6.914400200097588822e+00,1.344747631336616900e-01
6.915200200077379122e+00,1.350483171756269585e-01
6.916000200057169423e+00,1.359413917797497873e-01
6.916800200036959723e+00,1.355893599013025808e-01
6.917600200016750023e+00,1.337081157412609300e-01
6.918400199996540323e+00,1.297406036172510102e-01
6.919200199976330623e+00,1.285165819656737540e-01
6.920000199956120923e+00,1.284226538053875877e-01
6.920800199935911223e+00,1.307306990033083316e-01
6.921600199915701523e+00,1.333381849563940735e-01
6.922400199895491824e+00,1.364942366254564554e-01
6.923200199875282124e+00,1.374372371073680488e-01
6.924000199855072424e+00,1.374227538223290190e-01
6.924800199834862724e+00,1.360373585203557001e-01
6.925600199814653024e+00,1.356266334440704713e-01
6.926400199794443324e+00,1.354230615716345842e-01
6.927200199774233624e+00,1.348502028832296862e-01
6.928000199754023924e+00,1.368268032305420268e-01
6.928800199733814225e+00,1.381638978015181929e-01
6.929600199713604525e+00,1.384866440413106137e-01
6.930400199693394825e+00,1.395662274482209197e-01
6.931200199673185125e+00,1.406615015568583038e-01
6.932000199652975425e+00,1.405845991283429519e-01
6.932800199632765725e+00,1.385158746484728975e-01
6.933600199612556025e+00,1.374912707030976344e-01
6.934400199592346326e+00,1.369175361458137008e-01
6.935200199572136626e+00,1.360028061664314281e-01
6.936000199551926926e+00,1.338238651793047240e-01
6.936800199531717226e+00,1.321309324660146500e-01
6.937600199511507526e+00,1.337843027869912438e-01
6.938400199491297826e+00,1.363499189676840029e-01
6.939200199471088126e+00,1.373539636584538426e-01
6.940000199450878426e+00,1.363753429172024634e-01
6.940800199430668727e+00,1.347281483391426782e-01
6.941600199410459027e+00,1.362925891004434231e-01
6.942400199390249327e+00,1.395370101451924860e-01
6.943200199370039627e+00,1.414586604253746660e-01
6.944000199349829927e+00,1.421095633539097847e-01
6.944800199329620227e+00,1.433751485220816912e-01
6.945600199309410527e+00,1.440633285816614317e-01
6.946400199289200827e+00,1.430136395693266671e-01
6.947200199268991128e+00,1.417617471734916867e-01
6.948000199248781428e+00,1.403517836364122084e-01
6.948800199228571728e+00,1.384103965855952023e-01
6.949600199208362028e+00,1.378988968986529506e-01
6.950400199188152328e+00,1.411446766122564922e-01
6.951200199167942628e+00,1.421962305493311984e-01
6.952000199147732928e+00,1.424490525043277944e-01
6.952800199127523229e+00,1.432876807125857688e-01
6.953600199107313529e+00,1.421334515288824596e-01
6.954400199087103829e+00,1.413070638855607464e-01
6.955200199066894129e+00,1.409248049935262481e-01
6.956000199046684429e+00,1.402463588754661594e-01
6.956800199026474729e+00,1.388878043930905637e-01
6.957600199006265029e+00,1.343251804358713553e-01
6.958400198986055329e+00,1.276551101830743773e-01
6.959200198965845630e+00,1.243683187186199052e-01
6.960000198945635930e+00,1.241251154755877717e-01
6.960800198925426230e+00,1.276690942977162790e-01
6.961600198905216530e+00,1.319614658760068782e-01
6.962400198885006830e+00,1.395180389631846818e-01
6.963200198864797130e+00,1.417707549234414055e-01
6.964000198844587430e+00,1.413575974630061627e-01
6.964800198824377730e+00,1.390206999233185026e-01
6.965600198804168031e+00,1.419247762823484527e-01
6.966400198783958331e+00,1.436911671022770287e-01
6.967200198763748631e+00,1.450852076233617449e-01
6.968000198743538931e+00,1.445313776306723641e-01
6.968800198723329231e+00,1.438702059366319674e-01
6.969600198703119531e+00,1.426310191875744537e-01
6.970400198682909831e+00,1.434356646920695588e-01
6.971200198662700132e+00,1.445106692950807459e-01
6.972000198642490432e+00,1.463269076312770367e-01
6.972800198622280732e+00,1.480418039051086820e-01
6.973600198602071032e+00,1.485688641398160981e-01
6.974400198581861332e+00,1.488525624620813947e-01
6.975200198561651632e+00,1.460993170667432006e-01
6.976000198541441932e+00,1.431711188734863527e-01
6.976800198521232232e+00,1.402703387519321498e-01
6.977600198501022533e+00,1.435742177836299427e-01
6.978400198480812833e+00,1.466192962949718070e-01
6.979200198460603133e+00,1.474601088172675933e-01
6.980000198440393433e+00,1.475240360415176755e-01
6.980800198420183733e+00,1.480612214298560325e-01
6.981600198399974033e+00,1.475689252086468117e-01
6.982400198379764333e+00,1.462964821748999888e-01
6.983200198359554633e+00,1.468163848042961517e-01
6.984000198339344934e+00,1.482220221161736629e-01
6.984800198319135234e+00,1.495090892487851431e-01
6.985600198298925534e+00,1.494983371087831581e-01
6.986400198278715834e+00,1.493013762616906270e-01
6.987200198258506134e+00,1.492519084805527252e-01
6.988000198238296434e+00,1.485558863041191724e-01
6.988800198218086734e+00,1.482490078473908957e-01
6.989600198197877035e+00,1.497033510572982340e-01
6.990400198177667335e+00,1.502027708165176445e-01
6.991200198157457635e+00,1.482258228765606367e-01
6.992000198137247935e+00,1.445800388182587048e-01
6.992800198117038235e+00,1.427214002535624748e-01
6.993600198096828535e+00,1.470918772242557071e-01
6.994400198076618835e+00,1.506016510941041719e-01
6.995200198056409135e+00,1.517342943919400000e-01
6.996000198036199436e+00,1.510464167893525445e-01
6.996800198015989736e+00,1.494106542463292664e-01
6.997600197995780036e+00,1.473073557063327432e-01
6.998400197975570336e+00,1.466767040000726274e-01
6.999200197955360636e+00,1.467338373117985928e-01
7.000000197935150936e+00,1.453319137168548603e-01
7.000800197914941236e+00,1.441038917203637804e-01
7.001600197894731537e+00,1.478876794546253592e-01
7.002400197874521837e+00,1.519868372615631735e-01
7.003200197854312137e+00,1.526280524794311200e-01
7.004000197834102437e+00,1.524881620978150720e-01
7.004800197813892737e+00,1.524695775522038332e-01
7.005600197793683037e+00,1.524881307415431875e-01
7.006400197773473337e+00,1.514144292192282359e-01
7.007200197753263637e+00,1.496631930215833461e-01
7.008000197733053938e+00,1.458823341114781347e-01
7.008800197712844238e+00,1.436119841411962195e-01
7.009600197692634538e+00,1.433258177186842452e-01
7.010400197672424838e+00,1.469310820099797021e-01
7.011200197652215138e+00,1.495586225862680085e-01
7.012000197632005438e+00,1.498590310582374185e-01
7.012800197611795738e+00,1.495005411573173959e-01
7.013600197591586038e+00,1.517235363958775729e-01
7.014400197571376339e+00,1.532181627601311991e-01
7.015200197551166639e+00,1.542263371694301000e-01
7.016000197530956939e+00,1.533754963107679670e-01
7.016800197510747239e+00,1.529888991554176625e-01
7.017600197490537539e+00,1.532819698314972501e-01
7.018400197470327839e+00,1.542746630886475123e-01
7.019200197450118139e+00,1.534619650032276461e-01
7.020000197429908440e+00,1.499710357065370814e-01
7.020800197409698740e+00,1.430458048356793022e-01
7.021600197389489040e+00,1.415907723986764843e-01
7.022400197369279340e+00,1.421851402069983228e-01
7.023200197349069640e+00,1.442911729322639003e-01
7.024000197328859940e+00,1.482990926214554084e-01
7.024800197308650240e+00,1.513204014060560709e-01
7.025600197288440540e+00,1.518433679976067818e-01
7.026400197268230841e+00,1.511988201459141812e-01
7.027200197248021141e+00,1.518275176808656091e-01
7.028000197227811441e+00,1.546143266723103149e-01
7.028800197207601741e+00,1.554511933839085036e-01
7.029600197187392041e+00,1.556881410977720148e-01
7.030400197167182341e+00,1.567312724092298493e-01
7.031200197146972641e+00,1.570747632905482305e-01
7.032000197126762941e+00,1.570177401413935803e-01
7.032800197106553242e+00,1.580879333518847296e-01
7.033600197086343542e+00,1.587973013324190108e-01
7.034400197066133842e+00,1.579808193218066592e-01
7.035200197045924142e+00,1.553509139787508653e-01
7.036000197025714442e+00,1.538925504599828742e-01
7.036800197005504742e+00,1.556732965460708995e-01
7.037600196985295042e+00,1.586603739083541909e-01
7.038400196965085343e+00,1.599326146398738491e-01
7.039200196944875643e+00,1.603416336769626360e-01
7.040000196924665943e+00,1.591224798848613620e-01
7.040800196904456243e+00,1.573100148025841361e-01
7.041600196884246543e+00,1.563625238469840972e-01
7.042400196864036843e+00,1.542671250587785980e-01
7.043200196843827143e+00,1.490202741629824690e-01
7.044000196823617443e+00,1.433496851442741804e-01
7.044800196803407744e+00,1.447147376914388883e-01
