-dhs 0.80
-a 0.1 2.0
0.87 c 0.13
       lam   pyroxene    olivine  enstatite forsterite     silica     quartz
   1.00705 6815.57700 6258.16500 6491.46600 6626.48433 6288.61700 6238.97767
   1.00721 6815.05800 6257.48467 6490.72500 6625.72267 6287.80700 6238.22467
   1.00737 6814.53900 6256.80367 6489.98300 6624.96100 6286.99800 6237.47167
   1.00753 6814.02000 6256.12333 6489.24200 6624.19933 6286.18800 6236.71800
   1.00769 6813.50200 6255.44300 6488.50000 6623.43767 6285.37900 6235.96500
   1.00785 6812.98300 6254.76233 6487.75900 6622.67600 6284.57000 6235.21200
   1.00802 6812.46400 6254.08167 6487.01700 6621.91433 6283.76100 6234.45900
   1.00818 6811.94500 6253.40133 6486.27600 6621.15267 6282.95200 6233.70600
   1.00834 6811.42600 6252.72033 6485.53400 6620.39067 6282.14200 6232.95267
   1.00850 6810.90700 6252.04000 6484.79300 6619.62933 6281.33300 6232.19967
   1.00866 6810.38800 6251.35933 6484.05100 6618.86767 6280.52500 6231.44667
   1.00882 6809.86900 6250.67900 6483.31000 6618.10633 6279.71600 6230.69367
   1.00898 6809.35000 6249.99833 6482.56800 6617.34500 6278.90700 6229.94100
   1.00914 6808.83100 6249.31800 6481.82700 6616.58333 6278.09800 6229.18800
   1.00930 6808.31200 6248.63767 6481.08600 6615.82233 6277.29000 6228.43600
   1.00947 6807.81400 6247.98333 6480.37200 6615.08867 6276.51000 6227.70733
   1.00963 6807.31500 6247.32867 6479.65800 6614.35433 6275.73000 6226.97867
   1.00979 6806.81600 6246.67433 6478.94400 6613.62067 6274.95100 6226.25033
   1.00995 6806.31800 6246.01967 6478.23000 6612.88633 6274.17100 6225.52167
   1.01011 6805.81900 6245.36500 6477.51600 6612.15233 6273.39100 6224.79400
   1.01027 6805.32000 6244.71067 6476.80200 6611.41833 6272.61200 6224.06533
   1.01043 6804.82200 6244.05633 6476.08800 6610.68433 6271.83200 6223.33700
   1.01059 6804.32300 6243.40133 6475.37400 6609.95033 6271.05300 6222.60900
   1.01076 6803.82400 6242.74700 6474.66000 6609.21633 6270.27300 6221.88067
   1.01092 6803.32500 6242.09200 6473.94600 6608.48267 6269.49400 6221.15200
   1.01108 6802.82600 6241.43767 6473.23200 6607.74867 6268.71500 6220.42367
   1.01124 6802.32700 6240.78300 6472.51900 6607.01467 6267.93600 6219.69567
   1.01140 6801.82900 6240.12833 6471.80500 6606.28100 6267.15600 6218.96733
   1.01156 6801.33000 6239.47400 6471.09100 6605.54700 6266.37700 6218.23933
   1.01172 6800.83100 6238.81967 6470.37700 6604.81367 6265.59800 6217.51100
   1.01189 6800.33200 6238.16467 6469.66300 6604.08000 6264.81900 6216.78267
   1.01205 6799.83300 6237.51033 6468.94900 6603.34600 6264.04000 6216.05467
   1.01221 6799.33400 6236.85533 6468.23500 6602.61233 6263.26100 6215.32633
   1.01237 6798.83500 6236.20100 6467.52100 6601.87900 6262.48200 6214.59867
   1.01253 6798.33600 6235.54633 6466.80700 6601.14533 6261.70400 6213.87000
   1.01269 6797.83700 6234.89133 6466.09400 6600.41133 6260.92500 6213.14167
   1.01286 6797.33800 6234.23700 6465.38000 6599.67800 6260.14600 6212.41400
   1.01302 6796.83900 6233.58200 6464.66600 6598.94433 6259.36800 6211.68533
   1.01318 6796.34000 6232.92767 6463.95200 6598.21100 6258.58900 6210.95767
   1.01334 6795.84000 6232.27267 6463.23800 6597.47767 6257.81100 6210.22933
   1.01350 6795.34100 6231.61833 6462.52400 6596.74433 6257.03200 6209.50167
   1.01367 6794.84200 6230.96367 6461.81100 6596.01067 6256.25400 6208.77300
   1.01383 6794.34300 6230.30867 6461.09700 6595.27767 6255.47500 6208.04533
   1.01399 6793.83300 6229.64033 6460.36900 6594.52967 6254.68200 6207.30467
   1.01415 6793.31300 6228.96033 6459.62800 6593.77033 6253.87700 6206.55367
   1.01431 6792.79400 6228.28000 6458.88800 6593.01133 6253.07200 6205.80300
   1.01447 6792.27400 6227.60033 6458.14800 6592.25200 6252.26700 6205.05200
   1.01464 6791.75500 6226.92067 6457.40800 6591.49300 6251.46100 6204.30067
   1.01480 6791.23500 6226.24033 6456.66800 6590.73367 6250.65600 6203.54967
   1.01496 6790.71600 6225.56067 6455.92700 6589.97433 6249.85100 6202.79867
   1.01512 6790.19600 6224.88067 6455.18700 6589.21533 6249.04700 6202.04800
   1.01528 6789.67700 6224.20033 6454.44700 6588.45633 6248.24200 6201.29700
   1.01545 6789.15700 6223.52067 6453.70700 6587.69733 6247.43700 6200.54633
   1.01561 6788.63800 6222.84033 6452.96700 6586.93867 6246.63200 6199.79533
   1.01577 6788.11800 6222.16067 6452.22700 6586.17967 6245.82700 6199.04467
   1.01593 6787.59800 6221.48100 6451.48700 6585.42067 6245.02300 6198.29367
   1.01610 6787.07900 6220.80067 6450.74700 6584.66167 6244.21800 6197.54300
   1.01626 6786.55900 6220.12067 6450.00700 6583.90300 6243.41400 6196.79233
   1.01642 6786.03900 6219.44100 6449.26700 6583.14400 6242.60900 6196.04133
   1.01658 6785.52000 6218.76067 6448.52700 6582.38567 6241.80500 6195.29067
   1.01675 6785.00000 6218.08100 6447.78700 6581.62700 6241.00100 6194.53967
   1.01691 6784.48000 6217.40133 6447.04700 6580.86800 6240.19600 6193.78900
   1.01707 6783.96000 6216.72100 6446.30700 6580.10967 6239.39200 6193.03900
   1.01723 6783.44000 6216.04100 6445.56700 6579.35100 6238.58800 6192.28800
   1.01739 6782.92100 6215.36133 6444.82700 6578.59233 6237.78400 6191.53733
   1.01756 6782.40100 6214.68133 6444.08700 6577.83367 6236.98000 6190.78667
   1.01772 6781.88100 6214.00133 6443.34700 6577.07500 6236.17600 6190.03567
   1.01788 6781.36100 6213.32167 6442.60800 6576.31700 6235.37200 6189.28500
   1.01804 6780.84100 6212.64133 6441.86800 6575.55833 6234.56800 6188.53433
   1.01821 6780.32100 6211.96167 6441.12800 6574.80000 6233.76500 6187.78433
   1.01837 6779.80100 6211.28200 6440.38800 6574.04200 6232.96100 6187.03333
   1.01853 6779.28100 6210.60167 6439.64800 6573.28367 6232.15700 6186.28267
   1.01869 6778.75200 6209.91000 6438.89600 6572.51233 6231.34000 6185.51967
   1.01886 6778.21600 6209.20867 6438.13400 6571.73167 6230.51200 6184.74867
   1.01902 6777.68000 6208.50767 6437.37100 6570.95100 6229.68400 6183.97767
   1.01918 6777.14400 6207.80700 6436.60900 6570.17067 6228.85700 6183.20633
   1.01935 6776.60800 6207.10600 6435.84700 6569.39000 6228.02900 6182.43533
   1.01951 6776.07300 6206.40533 6435.08500 6568.60933 6227.20200 6181.66433
   1.01967 6775.53700 6205.70433 6434.32300 6567.82900 6226.37400 6180.89300
   1.01983 6775.00100 6205.00333 6433.56100 6567.04867 6225.54700 6180.12200
   1.02000 6774.46500 6204.30267 6432.79900 6566.26867 6224.72000 6179.35033
   1.02016 6773.92900 6203.60200 6432.03700 6565.48800 6223.89300 6178.57900
   1.02032 6773.39300 6202.90067 6431.27600 6564.70800 6223.06600 6177.80800
   1.02049 6772.85600 6202.20033 6430.51400 6563.92733 6222.23900 6177.03700
   1.02065 6772.32000 6201.49933 6429.75200 6563.14767 6221.41200 6176.26600
   1.02081 6771.78400 6200.79867 6428.99000 6562.36733 6220.58500 6175.49467
   1.02097 6771.24800 6200.09767 6428.22800 6561.58767 6219.75800 6174.72367
   1.02114 6770.71200 6199.39700 6427.46600 6560.80733 6218.93100 6173.95267
   1.02130 6770.17600 6198.69600 6426.70500 6560.02733 6218.10400 6173.18167
   1.02146 6769.64000 6197.99567 6425.94300 6559.24733 6217.27800 6172.41133
   1.02163 6769.10400 6197.29467 6425.18100 6558.46767 6216.45100 6171.64000
   1.02179 6768.56700 6196.59400 6424.42000 6557.68767 6215.62500 6170.86900
   1.02195 6768.03100 6195.89333 6423.65800 6556.90800 6214.79800 6170.09800
   1.02212 6767.49500 6195.19233 6422.89600 6556.12833 6213.97200 6169.32700
   1.02228 6766.95900 6194.49200 6422.13500 6555.34867 6213.14500 6168.55600
   1.02244 6766.42300 6193.79100 6421.37300 6554.56900 6212.31900 6167.78500
   1.02261 6765.88600 6193.09033 6420.61200 6553.78900 6211.49300 6167.01400
   1.02277 6765.35000 6192.38967 6419.85000 6553.00933 6210.66700 6166.24300
   1.02293 6764.81400 6191.68933 6419.08900 6552.23000 6209.84100 6165.47267
   1.02310 6764.27700 6190.98867 6418.32800 6551.45033 6209.01500 6164.70167
   1.02326 6763.74100 6190.28800 6417.56600 6550.67133 6208.18900 6163.93067
   1.02342 6763.22100 6189.60767 6416.82600 6549.91300 6207.38500 6163.17867
   1.02359 6762.70500 6188.93400 6416.09300 6549.16133 6206.58800 6162.43267
   1.02375 6762.19000 6188.26033 6415.36000 6548.41033 6205.79200 6161.68700
   1.02391 6761.67500 6187.58633 6414.62700 6547.65867 6204.99600 6160.94100
   1.02408 6761.16000 6186.91267 6413.89400 6546.90733 6204.19900 6160.19467
   1.02424 6760.64400 6186.23933 6413.16100 6546.15633 6203.40300 6159.44900
   1.02440 6760.12900 6185.56533 6412.42800 6545.40467 6202.60700 6158.70300
   1.02457 6759.61400 6184.89200 6411.69500 6544.65367 6201.81100 6157.95733
   1.02473 6759.09800 6184.21833 6410.96200 6543.90267 6201.01500 6157.21133
   1.02489 6758.58300 6183.54467 6410.22900 6543.15133 6200.21900 6156.46567
   1.02506 6758.06700 6182.87133 6409.49700 6542.40067 6199.42300 6155.72000
   1.02522 6757.55200 6182.19767 6408.76400 6541.64967 6198.62700 6154.97400
   1.02539 6757.03700 6181.52433 6408.03100 6540.89833 6197.83100 6154.22833
   1.02555 6756.52100 6180.85067 6407.29800 6540.14733 6197.03500 6153.48267
